user_id,video_id,date,tab,is_click,play_time_ms,duration_ms,profile_stay_time,comment_stay_time,is_like,is_follow,is_comment,is_forward,is_hate,long_view,video_features_statistic_play_count
106,149,20220426,14,0,5793,14766,1412,708,0,0,0,0,0,0,96078
122,110,20220501,1,0,6482,9492,2625,799,0,0,0,0,0,1,80655
78,41,20220508,0,1,10811,17742,4457,1475,0,0,0,0,0,0,78529
199,59,20220430,12,0,3761,5322,771,1117,0,0,0,0,0,0,12733
136,87,20220501,14,0,1926,2740,2780,599,0,0,0,0,0,0,81779
91,131,20220426,1,0,11013,9217,4261,1116,1,0,0,0,0,0,568
199,130,20220430,5,0,447,1295,3970,1569,1,0,0,0,0,0,26299
189,55,20220425,8,1,2665,2290,372,731,0,0,0,0,0,0,72610
137,108,20220501,14,1,7983,9997,1278,886,0,0,0,0,0,0,34087
63,99,20220508,9,1,19335,16331,1945,642,0,0,0,0,0,1,55589
21,16,20220429,3,0,4164,13818,1907,85,0,0,0,0,0,0,28327
161,78,20220503,13,1,8240,15910,2680,767,0,0,0,0,0,1,45295
115,86,20220508,8,0,5991,12871,4298,1135,0,1,0,0,0,0,29889
37,147,20220423,4,1,10941,13417,3416,1730,0,0,0,0,0,0,63476
182,91,20220505,4,0,2698,4153,1807,146,0,0,0,0,0,1,69316
100,20,20220506,14,0,5786,7018,2543,1814,0,0,0,0,0,1,82450
25,98,20220501,3,0,1966,4515,4418,1443,0,0,0,0,0,0,83747
86,59,20220426,2,1,11588,9404,687,52,0,0,0,0,0,1,63451
90,64,20220430,11,1,8315,10373,2700,254,0,0,0,0,0,1,75788
180,69,20220428,5,1,8151,10355,4240,1157,0,0,0,0,0,0,41496
71,8,20220423,0,0,14259,16384,4991,383,0,0,0,0,0,0,8986
19,124,20220430,0,0,3888,5068,958,1730,0,0,0,0,0,0,87138
166,45,20220422,2,1,16503,14593,1963,513,0,0,0,0,0,0,69657
26,85,20220502,12,0,1588,2393,2029,187,0,0,0,0,0,0,1400
70,52,20220425,13,1,14295,18910,4799,752,0,0,0,1,0,0,79980
58,42,20220501,10,0,1109,1555,3134,473,0,0,0,0,0,0,67678
18,35,20220425,12,0,1387,3585,2711,370,0,0,0,0,0,0,52225
57,44,20220508,5,0,4951,12109,1883,202,0,0,0,0,0,0,51039
46,87,20220426,10,1,11508,15284,1004,331,0,1,0,0,0,0,38016
198,88,20220424,6,1,12282,11952,2675,1677,0,0,0,0,0,1,82518
30,91,20220506,12,0,4660,6841,894,1997,0,0,0,0,0,0,56537
155,143,20220423,8,0,3725,5510,4392,374,0,0,0,0,0,0,66406
117,95,20220426,1,0,9250,19425,1706,1304,0,0,0,0,0,1,74015
191,51,20220428,9,0,4748,13146,2368,935,0,0,0,0,0,0,39058
145,60,20220508,1,0,10584,10936,1376,877,0,0,0,0,0,0,29822
115,35,20220502,14,1,11633,9272,4097,311,0,0,0,0,0,0,11941
125,66,20220427,2,1,9188,12840,813,1551,1,0,0,0,0,0,66765
36,133,20220506,6,0,2792,4165,3480,58,0,0,0,0,0,0,50602
3,54,20220425,9,0,1613,1637,2177,1610,0,0,0,0,0,1,92345
109,63,20220428,9,0,1461,4152,1684,151,0,0,0,0,0,1,50493
123,31,20220502,6,1,12645,17417,3578,1073,0,0,0,0,0,0,73607
97,42,20220422,1,0,2013,2091,3960,510,0,0,0,0,0,0,38614
78,27,20220427,13,1,16223,19600,2568,828,0,0,0,0,0,0,595
77,43,20220424,5,0,6242,19502,3575,1703,0,0,0,0,0,1,86310
74,98,20220423,9,0,5504,14582,1542,1230,0,0,0,0,0,0,5850
72,24,20220423,7,1,10993,8626,2998,1815,0,0,1,0,0,0,45115
101,56,20220504,11,0,1951,3285,1157,1936,0,0,0,0,0,0,61874
193,36,20220507,14,0,4700,13792,468,1490,0,0,0,0,0,1,58185
172,75,20220502,4,1,11936,16478,3490,1913,0,0,0,0,0,0,83128
5,66,20220426,9,1,12580,15615,4104,26,0,0,0,0,0,1,1849
